trigger,T50,errT50,T90,errT90
105,1.792,0.202,5.184,0.181
107,68.608,3.238,208.576,1.118
108,1.28,1.574,3.136,0.59
109,47.104,0.143,90.176,0.286
110,306.368,3.304,430.016,1.094
111,41.728,0.63,98.176,2.262
114,29.632,7.359,381.248,10.192
121,48.64,0.373,75.008,1.28
130,33.792,0.143,61.952,0.5
133,95.232,0.994,182.016,0.916
138,0.218,0.009,0.315,0.023
143,6.72,0.143,50.816,0.202
148,419.008,3.096,454.016,6.147
160,8.384,0.405,17.024,1.374
171,12.864,0.41,24.768,4.401
179,3.2,0.202,7.232,0.181
185,0.056,0.006,0.132,0.077
204,20.288,4.544,62.656,1.548
207,0.042,0.005,0.085,0.003
211,203.84,4.299,292.736,1.28
214,18.816,0.286,45.696,4.524
218,0.597,0.092,1.173,0.069
219,6.272,0.231,29.696,1.414
222,57.024,0.389,73.088,0.466
223,22.784,2.01,29.184,1.243
226,61.44,0.32,221.184,0.466
228,5.504,0.453,12.352,2.695
229,0.256,0.091,0.448,0.091
235,10.304,0.551,26.432,3.057
237,30.208,0.547,40.512,3.529
249,6.656,0.143,28.544,0.854
254,0.192,0.091,0.384,0.707
257,28.48,1.096,80.832,4.16
288,21.44,4.871,41.152,6.464
289,0.03,0.007,0.067,0.012
297,0.32,0.091,0.96,0.091
298,0.111,0.064,0.455,0.065
332,13.76,0.59,50.624,4.418
351,52.352,1.223,146.944,4.017
373,0.768,0.091,1.536,0.091
394,36.992,0.405,106.112,2.057
398,10.368,0.405,25.6,4.546
401,2.88,0.202,5.056,0.181
404,29.568,0.41,123.392,3.36
408,35.456,0.842,85.44,3.105
414,5.312,0.854,15.552,6.538
432,0.014,0.001,0.034,0.005
444,0.128,0.091,0.256,0.091
451,3.072,0.181,15.168,2.369
465,4.864,0.802,13.824,2.572
467,8.832,0.466,37.696,3.777
469,3.968,0.202,15.424,1.286
472,37.696,1.404,82.176,5.724
473,12.096,0.832,31.104,3.657
474,0.072,0.005,0.152,0.032
480,0.019,0.004,0.067,0.018
486,0.128,0.091,0.32,0.066
491,0.039,0.012,0.1,0.059
493,1.472,0.272,4.864,1.581
501,4.992,0.59,33.728,1.988
503,31.744,5.312,46.656,1.346
508,0.448,0.143,0.896,0.373
512,0.036,0.018,0.183,0.065
516,3.52,0.345,12.672,3.117
526,2.496,0.5,6.592,4.971
537,1.216,0.181,4.288,0.326
540,17.92,0.528,32,1.6
543,2.176,0.143,4.864,0.202
547,0.256,0.091,0.512,0.091
548,13.696,0.286,36.224,0.898
549,9.792,0.781,14.4,2.807
551,0.115,0.006,0.25,0.109
555,1.92,0.202,4.16,0.453
559,19.968,1.846,34.176,4.296
563,8.64,0.528,22.528,1.473
568,0.058,0.012,0.119,0.045
575,0.27,0.021,0.413,0.022
577,57.536,4.428,179.84,7.697
591,30.656,0.286,56.064,5.41
594,13.888,0.41,26.88,0.286
603,0.832,0.091,1.472,0.272
606,8.576,0.272,20.736,0.373
630,8,1.056,18.176,1.448
647,16.832,0.231,59.584,0.58
658,6.016,0.373,20.672,1.684
659,33.28,0.405,102.08,2.146
660,5.504,0.202,20.16,0.834
673,13.12,0.462,27.456,2.29
676,18.432,0.264,77.824,1.175
677,0.03,0.003,0.055,0.008
678,20.544,0.202,53.888,0.707
680,2.88,0.286,10.944,1.012
685,15.68,1.741,72.512,2.187
686,4.992,0.231,11.136,0.73
690,2.112,0.32,3.2,0.373
692,5.76,0.181,62.528,1.741
704,22.784,0.792,45.888,2.883
711,0.704,0.143,2.432,0.832
717,10.944,1.358,37.184,4.971
729,0.063,0.022,0.183,0.031
734,0.448,0.091,1.792,0.231
741,5.376,0.634,12.48,2.211
